pixel_id,sst_c_mean,anom_sst_c_mean,sst_c_sd,anom_sst_c_sd,year
1,,,,,2015
2,,,,,2015
3,,,,,2015
4,,,,,2015
5,,,,,2015
6,,,,,2015
7,,,,,2015
8,,,,,2015
9,,,,,2015
10,,,,,2015
11,,,,,2015
12,,,,,2015
13,,,,,2015
14,,,,,2015
15,,,,,2015
16,,,,,2015
17,,,,,2015
18,,,,,2015
19,,,,,2015
20,,,,,2015
21,,,,,2015
22,,,,,2015
23,,,,,2015
24,,,,,2015
25,,,,,2015
26,,,,,2015
27,,,,,2015
28,,,,,2015
29,,,,,2015
30,,,,,2015
31,,,,,2015
32,,,,,2015
33,,,,,2015
34,,,,,2015
35,,,,,2015
36,,,,,2015
37,,,,,2015
38,,,,,2015
39,,,,,2015
40,,,,,2015
41,,,,,2015
42,,,,,2015
43,,,,,2015
44,,,,,2015
45,,,,,2015
46,,,,,2015
47,,,,,2015
48,,,,,2015
49,,,,,2015
50,,,,,2015
51,,,,,2015
52,,,,,2015
53,,,,,2015
54,,,,,2015
55,,,,,2015
56,,,,,2015
57,,,,,2015
58,,,,,2015
59,,,,,2015
60,,,,,2015
61,,,,,2015
62,,,,,2015
63,,,,,2015
64,,,,,2015
65,,,,,2015
66,,,,,2015
67,,,,,2015
68,,,,,2015
69,,,,,2015
70,,,,,2015
71,,,,,2015
72,,,,,2015
73,,,,,2015
74,,,,,2015
75,,,,,2015
76,,,,,2015
77,,,,,2015
78,,,,,2015
79,,,,,2015
80,,,,,2015
81,,,,,2015
82,,,,,2015
83,,,,,2015
84,,,,,2015
85,,,,,2015
86,,,,,2015
87,,,,,2015
88,,,,,2015
89,,,,,2015
90,,,,,2015
91,,,,,2015
92,,,,,2015
93,,,,,2015
94,,,,,2015
95,,,,,2015
96,,,,,2015
97,,,,,2015
98,,,,,2015
99,,,,,2015
100,,,,,2015
101,,,,,2015
102,,,,,2015
103,,,,,2015
104,,,,,2015
105,,,,,2015
106,,,,,2015
107,,,,,2015
108,,,,,2015
109,,,,,2015
110,,,,,2015
111,,,,,2015
112,,,,,2015
113,,,,,2015
114,,,,,2015
115,,,,,2015
116,,,,,2015
117,,,,,2015
118,,,,,2015
119,,,,,2015
120,,,,,2015
121,,,,,2015
122,,,,,2015
123,,,,,2015
124,,,,,2015
125,,,,,2015
126,,,,,2015
127,,,,,2015
128,,,,,2015
129,,,,,2015
130,,,,,2015
131,,,,,2015
132,,,,,2015
133,,,,,2015
134,,,,,2015
135,,,,,2015
136,,,,,2015
137,,,,,2015
138,,,,,2015
139,,,,,2015
140,,,,,2015
141,,,,,2015
142,,,,,2015
143,,,,,2015
144,,,,,2015
145,,,,,2015
146,,,,,2015
147,,,,,2015
148,,,,,2015
149,,,,,2015
150,,,,,2015
151,,,,,2015
152,,,,,2015
153,,,,,2015
154,,,,,2015
155,,,,,2015
156,,,,,2015
157,,,,,2015
158,,,,,2015
159,,,,,2015
160,,,,,2015
161,,,,,2015
162,,,,,2015
163,,,,,2015
164,,,,,2015
165,,,,,2015
166,,,,,2015
167,,,,,2015
168,,,,,2015
169,,,,,2015
170,,,,,2015
171,,,,,2015
172,,,,,2015
173,,,,,2015
174,,,,,2015
175,,,,,2015
176,,,,,2015
177,,,,,2015
178,,,,,2015
179,,,,,2015
180,,,,,2015
181,,,,,2015
182,,,,,2015
183,,,,,2015
184,,,,,2015
185,,,,,2015
186,,,,,2015
187,,,,,2015
188,,,,,2015
189,,,,,2015
190,,,,,2015
191,,,,,2015
192,,,,,2015
193,,,,,2015
194,,,,,2015
195,,,,,2015
196,,,,,2015
197,,,,,2015
198,,,,,2015
199,,,,,2015
200,,,,,2015
201,,,,,2015
