pixel_id,chl_mg_per_m3_mean,chl_mg_per_m3_sd,year
350,0.289770096540451,,2024
351,0.39450740814209,,2024
352,0.105971053242683,,2024
353,0.0756352245807648,,2024
354,0.116230502724648,,2024
444,0.157484345138073,0.00197300988262894,2024
445,0.213667191565037,0.0208089211709047,2024
446,0.293407961726189,0.151252627058713,2024
447,0.185300208628177,0.0976156267171768,2024
448,0.24475555618604,0.141641890772824,2024
449,0.261714013914267,0.240913401083326,2024
450,0.270193099975586,0.190691637237176,2024
451,0.225263138612112,0.188461895130471,2024
452,0.238334087034067,0.213538362334667,2024
453,0.208044239630302,0.180395339335095,2024
454,0.196731128419439,0.164993668146689,2024
455,0.276197743912538,0.283777057003344,2024
456,0.247378398353855,0.216011270797083,2024
457,0.521871399134399,0.598619180031986,2024
458,0.373532691349586,0.309978850812001,2024
459,0.253862546135982,0.201458714640958,2024
460,0.149226875354846,0.119551743802119,2024
461,0.12375387797753,0.106092401275325,2024
462,0.105753608047962,0.0792305170448727,2024
463,0.116309513648351,0.0878695013988956,2024
464,0.115865458423892,0.0916091773912342,2024
465,0.103272513796886,0.0831932303048988,2024
466,0.136488497257232,0.0598834646228848,2024
506,0.068056559190154,0.0738582769419262,2024
507,0.038296390324831,0.0410997334665634,2024
508,0.0210823387606069,0.0195920216416094,2024
509,0.0184488595696166,0.0121227293155057,2024
510,0.0173464129911736,0.00890748398856329,2024
511,0.0315115239160756,0.0242109597607698,2024
512,0.0706712659448385,0.0324559946568258,2024
513,0.0510107167065143,0.0171042500652896,2024
514,0.0390203332062811,0.0296906002892851,2024
515,0.0314470941666514,0.024208248867435,2024
516,0.0371154466023048,0.0138026137167717,2024
517,0.0402204208076,,2024
520,0.131964206695557,0.0161982561413433,2024
521,0.104691088199616,0.00501344138735569,2024
522,0.0721508730202914,0.0400052802101805,2024
523,0.0595308924093843,0.0510168095136045,2024
524,0.0348754143342376,0.0171556178540013,2024
525,0.0996020287275314,,2024
526,0.0905586183071136,,2024
527,0.072832003235817,,2024
528,0.107189707458019,,2024
529,0.0867305174469948,,2024
530,0.0692178159952164,,2024
531,0.0801389589905739,,2024
532,0.0762784592807293,0.0133580695822473,2024
533,0.0845244353016217,0.00991383335092635,2024
534,0.0902039806048076,0.0168146747173086,2024
535,0.0984200462698936,0.03212943562633,2024
536,0.110556962589423,0.0408018457126566,2024
537,0.288685175279776,0.181869386274701,2024
538,0.285396342476209,0.184320710833448,2024
539,0.374427489936352,0.232989791419385,2024
540,0.605784753958384,0.235699709271621,2024
541,0.905146410067876,0.533750212787265,2024
542,1.44323408603668,0.953511300274354,2024
543,1.43539998928706,1.14232016518302,2024
544,1.77165774504344,1.71124583241601,2024
545,1.43557831645012,1.48889482362027,2024
