pixel_id,chl_mg_per_m3_mean,chl_mg_per_m3_sd,year
353,0.0596381798386574,,2014
354,0.0588370524346829,,2014
355,0.0585634186863899,,2014
444,0.0188030544668436,0.0376061089336872,2014
444,0.111638784408569,0.19336404669087,2015
445,0,0,2014
445,0.077585130929947,0.134381388682552,2015
446,0.0353430695831775,0.070686139166355,2014
446,0.098850129172206,0.132189489307643,2015
447,0.0985196325927972,0.0307781046384567,2014
447,0.0991455242037775,0.0427853384650769,2015
448,0.230443060398102,0.0645414763999455,2014
448,0.17487470060587,0.0465718239493539,2015
449,0.258589782752097,0.172627405120976,2014
449,0.233512595295906,0.129946606055438,2015
450,0.269473726302385,0.236861341333736,2014
450,0.305334817618132,0.248599665603349,2015
451,0.320750892907381,0.296537340797419,2014
451,0.421392692252994,0.453346538570188,2015
452,0.494187003932894,0.400156661036363,2014
452,0.660241303965449,0.780278153496481,2015
453,0.777623216311137,0.332894475824264,2014
453,0.659070819616318,0.739178580072237,2015
454,1.014373143514,0.544918202513808,2014
454,0.683232359588147,0.877384843631699,2015
455,1.16483509540558,0.580470845429018,2014
455,0.711632177233697,0.924989257788494,2015
456,1.21391093730926,0.617975983386999,2014
456,0.737705472856761,0.99307371078275,2015
457,1.26586959759395,0.596217320027995,2014
457,0.687166282907127,0.910973495686776,2015
458,1.27458417415619,0.69455300403523,2014
458,0.707513608038425,0.734837621335891,2015
459,0.904805283993482,0.715758275165838,2014
459,0.928654093295336,0.965679554596104,2015
460,0.645485628396273,0.498831383418891,2014
460,0.93061172403395,0.984695803781433,2015
461,0.336523668840528,0.277189943569735,2014
461,0.484658590517937,0.494311128857069,2015
462,0.135970330331475,0.124403096330052,2014
462,0.254723220132291,0.22504109015849,2015
463,0.0466741980053484,0.0315960166105902,2014
463,0.0997910071164372,0.0396765597648017,2015
464,0.0162968883523717,0.032506017974623,2014
464,0.0237858008640615,0.0278571117965768,2015
465,0.011695102788508,0.0233902055770159,2014
465,0.0264950012788177,0.0306537336690902,2015
466,0.0106350844725967,0.0212701689451933,2014
466,0.0170403781036536,0.0295148006557122,2015
467,0,0,2014
467,0,0,2015
468,0,0,2014
468,0,0,2015
469,0,0,2014
469,0,0,2015
470,0,0,2014
470,0,0,2015
471,0,0,2014
471,0,0,2015
472,0,0,2014
472,0,0,2015
473,0,0,2014
473,0,0,2015
474,0,0,2014
474,0,0,2015
475,0,0,2014
475,0,0,2015
476,0,0,2014
476,0,0,2015
477,0,0,2014
477,0,0,2015
478,0,0,2014
478,0,0,2015
479,0,0,2014
479,0,0,2015
480,0,0,2014
480,0,0,2015
481,0,0,2014
481,0,0,2015
482,0,0,2014
482,0,0,2015
483,0,0,2014
483,0,0,2015
484,0,0,2014
484,0,0,2015
485,0,0,2014
485,0,0,2015
486,0,0,2014
486,0,0,2015
487,0,0,2014
487,0,0,2015
488,0,0,2014
488,0,0,2015
489,0,0,2014
489,0,0,2015
490,0,0,2014
490,0,0,2015
491,0,0,2014
491,0,0,2015
492,0,0,2014
492,0,0,2015
493,0,0,2014
493,0,0,2015
494,0,0,2014
494,0,0,2015
495,0,0,2014
495,0,0,2015
496,0,0,2014
496,0,0,2015
497,0,0,2014
497,0,0,2015
498,0,0,2014
498,0,0,2015
499,0,0,2014
499,0,0,2015
500,0,0,2014
500,0,0,2015
501,0,0,2014
501,0,0,2015
502,0,0,2014
502,0,0,2015
503,0,0,2014
503,0,0,2015
504,0,0,2014
504,0,0,2015
505,0,0,2014
505,0,0,2015
506,0,0,2014
506,0,0,2015
507,0,0,2014
507,0.000194455817108974,0.000275002053837853,2015
508,0,0,2014
508,0.00117572047747672,0.00166271984480734,2015
509,0,0,2014
509,2.98066288451082e-06,4.21529387613731e-06,2015
510,0,0,2014
510,0,0,2015
511,0,0,2014
511,0.00873273300627867,0.0151255372558084,2015
512,0,0,2014
512,0,0,2015
513,0,0,2014
513,0.00725482838849227,0.0125657313690616,2015
514,0,0,2014
514,0.00922519410960378,0.0109906521277253,2015
515,0,0,2014
515,0.0092251943424344,0.0109906522946895,2015
516,0,0,2014
516,0.00464792425433793,0.00805044095824499,2015
517,0,0,2014
517,0.00455367223670087,0.00788719167498171,2015
518,0,0,2014
518,0,0,2015
519,0,0,2014
519,0,0,2015
520,0,0,2014
