"pixel_id","eez_id"
45870,99999
45871,99999
45872,99999
45873,99999
45874,99999
45875,99999
45876,99999
45877,99999
45878,99999
45879,99999
45880,99999
45881,99999
45882,99999
45883,99999
45884,99999
45885,99999
45886,99999
45887,99999
45888,99999
45889,99999
45890,99999
45891,99999
45892,99999
45893,99999
45894,99999
45895,99999
45896,99999
45897,99999
45898,99999
45899,99999
45900,99999
45901,99999
45902,99999
45903,99999
45904,99999
45905,99999
45906,99999
45907,99999
45908,99999
45909,99999
45910,99999
45911,99999
45912,99999
45913,99999
45914,99999
45915,99999
45916,99999
45917,99999
45918,99999
45919,99999
45920,99999
45921,99999
45922,99999
45923,99999
45924,99999
45925,99999
45926,99999
45927,99999
45928,99999
45929,99999
45930,99999
45931,99999
45932,99999
45933,99999
45934,99999
45935,99999
45936,99999
45937,99999
45938,99999
45939,99999
45940,99999
45941,99999
45942,99999
45943,99999
45944,99999
45945,99999
45946,99999
45947,99999
45948,99999
45949,99999
45950,99999
45951,99999
45952,99999
45953,99999
45954,99999
45955,99999
45956,99999
45957,99999
45958,99999
45959,99999
45960,99999
45961,99999
45962,99999
45963,99999
45964,99999
45965,99999
45966,99999
45967,99999
45968,99999
45969,99999
45970,99999
45971,99999
45972,99999
45973,99999
45974,99999
45975,99999
45976,99999
45977,99999
45978,99999
45979,99999
45980,99999
45981,99999
45982,99999
45983,99999
45984,99999
45985,99999
45986,99999
45987,99999
45988,99999
45989,99999
45990,99999
45991,99999
45992,99999
45993,99999
45994,99999
45995,99999
45996,99999
45997,99999
45998,99999
45999,99999
46000,99999
46001,99999
46002,99999
46003,99999
46004,99999
46005,99999
46006,99999
46007,99999
46008,99999
46009,99999
46010,99999
46011,99999
46012,99999
46013,99999
46014,99999
46015,99999
46016,99999
46017,99999
46018,99999
46019,99999
46020,99999
46021,99999
46022,99999
46023,99999
46024,99999
46025,99999
46026,99999
46027,99999
46028,99999
46029,99999
46030,99999
46031,99999
46032,99999
46033,99999
46034,99999
46035,99999
46036,99999
46037,99999
46038,99999
46039,99999
46040,99999
46041,99999
46042,99999
46043,99999
46044,99999
46045,99999
46046,99999
46047,99999
46048,99999
